number,title,classification,year,date,latitude,longitude,magnitude,data
1939,Report 1939: Youth's presence startles unknown animal,Infected,2004,10-Jan,34.6894,-77.2914,5,
3150,Report 3150: Three witnesses throwing rocks in lake see a Bigfoot peeking at them,Infected,2004,Jul-30,47.3338,-121.2309,5,
4236,Report 4236: Man recalls a possible encounter as a teen at Fort Gordon,Not Infected,2004,Jun-15,33.4119,-82.13665,5,
40475,Report 40475: Memory told of strange occurrences while growing up near Castle Rock State Park,Not Infected,2004,10-Feb,41.96925,-89.38184,5,
1473,Report 1473: Family has early evening sighting near Weed,Infected,2008,09-Jan,41.42806,-122.3839,5,
8059,Report 8059: Teenagers have sighting of two creatures near Albion,Infected,2008,09-Jan,39.22361,-123.7675,5,
34555,Report 34555: Woman recalls her nighttime face to face encounter at her window outside Tulsa,Infected,2008,Aug-15,36.13222,-95.79677,5,
25440,Report 25440: Man recalls multiple witness encounter near Hendersonville,Infected,2008,Apr-15,36.30155,-86.60155,5,
10572,Report 10572: Possible approach to a camp outside Penticton,Not Infected,2008,Aug-15,49.69263,-119.7497,5,
22561,Report 22561: Man recalls childhood observation - large tracks with long stride in snow - near Mayfield,Not Infected,2008,Jan-15,43.0949,-74.27923,5,
13816,Report 13816: Possible encounter with soldier training training in the Olympic National Forest,Not Infected,2008,05-Jan,47.969,-123.582,5,
12294,Report 12294: Daylight sighting near Happy Camp,Infected,2003,03-Oct,41.75,-123.35,5,
1801,Report 1801: Close daylight sighting of animal crossing road near Spirit Lake,Infected,2003,Jul-29,47.95614,-116.7787,5,
46494,Report 46494: Memory told of a daytime sighting in Schiller Woods,Infected,2003,Aug-15,41.9586,-87.8574,5,
29409,Report 29409: Woman remembers childhood sighting near Rogers City,Infected,2003,May-17,45.40985,-83.85985,5,
24404,Report 24404: Woman recalls a very close encounter as a child on a farm near the Mark Twain National Forest,Infected,2003,Jul-30,36.97061,-92.09264,5,
23956,Report 23956: Man recounts boyhood sighting at Fairfield Summer Camp near Ligonier,Infected,2003,Sep-14,40.32247,-79.16817,5,
1596,"Report 1596: Two men witness three large individuals, two very large and the other about two-thirds their size",Infected,2003,Aug-16,46.94917,-122.6869,5,
1644,Report 1644: Witness saw something he felt confident few men had ever seen,Infected,2003,Oct-18,46.385,-122.1379,5,
1973,"Report 1973: Teen hunter sees a sasquatch at a distance while bird hunting, and found tracks five years before",Infected,2003,Mar-15,46.23361,-119.3172,5,
30814,Report 30814: Possible encounters at a home located on a steep hillside near Ransom,Not Infected,2003,Jan-15,37.31413,-82.13403,5,
7830,"Report 7830: Two teenagers witness something running from a pack of dogs on two legs, screaming very loud. The next day large five toed tracks are found",Not Infected,2003,07-Jan,41.38274,-82.12263,5,
1564,"Report 1564: ""Brinson Monster""",Not Infected,2003,Aug-18,46.49139,-122.9367,5,
9868,Report 9868: Youths in Summer Camp have noisy nighttime experience,Not Infected,2003,Jul-15,46.951,-122.2985,5,
849,Report 849: Girl has daytime sighting near Payne's Creek,Infected,2008,11-Jan,40.33556,-121.9139,5,
12984,Report 12984: Nighttime sighting by motorists east of Carpentersville,Infected,2008,Sep-28,42.1295,-88.1577,5,
4953,Report 4953: Family has sighting on farm along Headleys Mill Road,Infected,2008,08-Jan,40.00915,-82.67252,5,
1526,"Report 1526: Couple parked on dirt road encounter hairy, man-like creature",Infected,2008,Oct-18,31.30853,-94.76362,5,
629,Report 629: Hunter locates large footprints near Railroad Flats,Not Infected,2008,09-Jan,38.30056,-120.7053,5,
857,Report 857: Possible sighting around 2:00AM near Courtenay,Not Infected,2008,Sep-24,49.70889,-125.2581,5,
42730,"Report 42730: Childhood memory told of seeing an upright, white animal while playing in a creek near Brussels",Not Infected,2008,05-Apr,38.92993,-90.53175,5,
37448,Report 37448: Hunter recalls a possible encounter during deer season near St. Helen,Not Infected,2008,Nov-15,44.377,-84.4995,5,
6960,Report 6960: Early morning vocalizations heard near Rainbow Creek,Not Infected,2008,Oct-16,35.42525,-77.67995,5,
5816,Report 5816: Nighttime encounter by a worker at a logging site,Not Infected,2008,Aug-23,45.2075,-121.886,5,
925,"Report 925: Backpacker observes a tall, early morning visitor in camp",Not Infected,2008,Aug-30,47.495,-120.835,5,
25082,"Report 25082: Retired police officer recalls he and a friend being intimidated from continuing their hike, near Bonita",Not Infected,2008,Aug-15,45.02176,-88.5233,5,
3467,Report 3467: Witnesses describe 'huge' black creature that throws dirt at them near Chittyville.,Class C,2008,Aug-15,37.846,-89.0111,5,
1944,Report 1944: Family has multiple encounters with white bigfoot creature,Infected,2009,Aug-16,33.76986,-94.3643,5,
34822,Report 34822: Memory told of a nighttime sighting while traveling on a mountainside near Rossland,Infected,2009,Sep-15,49.20805,-117.9636,5,
723,Report 723: creature sitting on a wood pile seen watching witness.,Infected,2009,Jun-15,28.50665,-82.50591,5,
4741,Report 4741: Four witnesses have encounter near McCall,Infected,2009,Aug-16,44.91666,-116.0833,5,
10510,Report 10510: Logger and granddaughter have brief sighting in the Selkirk Mountains,Infected,2009,Oct-18,48.1143,-116.0558,5,
24147,Report 24147: Creature seen at a flooded rock quarry near Hampton,Infected,2009,09-Jan,41.55965,-90.40675,5,
28714,Report 28714: Memory told of seeing a bigfoot on the side of a road along Middle Branch Creek,Infected,2009,08-Sep,40.62288,-89.99328,5,
22448,Report 22448: Early morning sighting near Scott City Diversion Canal,Infected,2009,Jul-16,37.236,-89.55949,5,
14376,Report 14376: Encounter during a summer camp campout near the Brazos River,Infected,2009,Jul-20,32.8269,-98.3298,5,
1621,Report 1621: Fisherman witnesses bigfoot cross the road in front of his car,Infected,2009,03-May,45.66194,-122.0144,5,
5452,"Report 5452: A large bipedal animal seen in the headlights on hwy 12,  5 miles East of Packwood",Infected,2009,Nov-19,46.67389,-121.5867,5,
5453,Report 5453: Large bipedal animal seen 5 miles East of Packwood on Hwy 12,Infected,2009,Nov-15,46.6711,-121.5863,5,
24421,Report 24421: Woman remembers daylight sighting while walking in the Slate Creek area,Infected,2009,08-Jan,37.2875,-81.68124,5,
29124,Report 29124: Recollection of a daylight sighting while deer hunting near Greenbrier River.,Infected,2009,Nov-24,38.1882,-80.1177,5,
2935,Report 2935: Father and son see large footprints outside Orick,Not Infected,2009,09-Jan,41.30056,-124.0644,5,
21916,Report 21916: Possible Evening Encounter by Woman on Horseback near Union,Not Infected,2009,07-Jan,41.80205,-85.84005,5,
13674,Report 13674: Sightings around a property near Chesnee,Not Infected,2009,Jul-18,35.148,-81.861,5,
1620,Report 1620: Family on vacation find tracks in an isolated area.,Not Infected,2009,03-Sep,46.3341,-121.7913,5,
2957,Report 2957: Youths riding in back of pick-up have close observation of large biped crossing road,Infected,2010,Jun-15,35.9975,-93.83426,5,
1234,Report 1234: Creature observed by witness.,Infected,2010,Aug-15,43.078,-91.3867,5,
4011,Report 4011: Road crossing sighting in a farm area near Maynard; other incidents in vicinity,Infected,2010,Nov-30,42.7525,-91.8043,5,
56107,Report 56107: Memory told of a nighttime sighting while working as a police officer answering a prowler call in Marrero,Infected,2010,May-15,29.5385,-90.593,5,
23929,Report 23929: Dusk sighting by two women near Three Lakes (w/sketch by artist),Infected,2010,09-Jan,46.56913,-88.28403,5,
28711,Report 28711: Memory told of seeing an upright figure walk into a shooting lane while hunting near Nashwauk,Infected,2010,11-Jan,47.52522,-93.25262,5,
3050,Report 3050: Graceful creature ran by man when he was 15,Infected,2010,Oct-14,45.3725,-121.5835,5,
13673,"Report 13673: Various incidents around home with women and children only, near Summerville",Infected,2010,Jun-24,33.007,-80.156,5,
23645,"Report 23645: Sighting by motorist in the Great Smoky Mountains National Park, not far from the park entrance.",Infected,2010,04-Jan,35.68449,-83.53575,5,
7392,Report 7392: Youth catches standing figure in flashlight glow during camp-out,Infected,2010,May-16,36.63931,-78.55758,5,
24569,Report 24569: A couple remembers their daylight sighting while driving thru the Shenandoah National Park many years ago,Infected,2010,Sep-16,38.73048,-78.33453,5,
35477,Report 35477: Memory told of a nighttime sighting while joy riding on train tracks near Purcellville,Infected,2010,May-15,39.14588,-77.67422,5,
16714,Report 16714: Two men remember hearing bone-chilling scream while parking at lookout point in Stone State Park,Not Infected,2010,06-Jan,42.55576,-96.47562,5,
44740,Report 44740: Memory told of being chased off by frightening thumps and scream while hiking in Pikes Peak State Park,Not Infected,2010,Sep-27,43.00499,-91.17154,5,
8259,Report 8259: Hunters find scat and have large rock thrown at them,Not Infected,2010,Nov-15,46.1333,-68.8405,5,
48354,Report 48354: Woman recalls scary night while at a Girl Scout campground in Bear Brook State Park,Not Infected,2010,Oct-31,43.11074,-71.35414,5,
5692,Report 5692: Father and son hear vocalizations on Peavine Mt,Not Infected,2010,09-Jan,39.592,-119.975,5,
4968,Report 4968: Tracks found along soybean field near Edinburgh,Not Infected,2010,11-Jan,41.10715,-81.1414,5,
6027,Report 6027: Heavy steps around tent in dark scare backpackers,Not Infected,2010,Aug-15,44.6335,-121.8165,5,
13037,Report 13037: Possible nest nest and food remains found by retired soldier near the Sandy River,Not Infected,2010,Jul-15,45.4861,-122.277,5,
25764,Report 25764: Hunter recalls finding fresh tracks in snow outside of Glide,Not Infected,2010,Nov-15,43.40867,-122.8887,5,
38797,Report 38797: Woman recalls childhood experience of a terrifying night-time encounter while camping near Kennecott Copper mine,Not Infected,2010,Jul-17,40.4871,-112.1402,5,
1384,Report 1384: Vocalizations heard by hikers,Not Infected,2010,May-13,47.5225,-121.7569,5,
1895,Report 1895: Four hunters find large tracks in snow outside their camp,Not Infected,2010,Nov-22,47.19944,-120.2758,5,
2602,Report 2602: Loud vocalizations heard near Stevens Pass,Not Infected,2010,Apr-14,47.7117,-121.1544,5,
4669,Report 4669: Memory told of hearing possible vocalizations while camping at Hollywood Gorge near Castle Rock,Not Infected,2010,07-Jan,46.37,-122.82,5,
50659,Report 50659: Young man has several possible day-time encounters near Moses Mountain in the '70s,Not Infected,2010,Oct-15,48.40859,-119.0709,5,
513,Report 513: Future doctor sees giant tracks high in Rawah wilderness,Infected,2011,Jul-15,40.79166,-105.9583,5,
3606,Report 3606: Campers have daylight sighting near Leadville,Infected,2011,Sep-15,39.25,-106.3,5,
15588,Report 15588: Daytime sighting of white creature near Dillon,Infected,2011,Jun-30,39.7198,-106.1666,5,
1021,Report 1021: Large Creature standing in road,Infected,2011,Jul-15,29.7351,-81.96195,5,
23227,Report 23227: Daylight sighting by squirrel hunter outside Sarepta,Infected,2011,11-Dec,32.895,-93.45,5,
19938,Report 19938: Teenager views runner covered in hair near Michigamme,Infected,2011,Jul-15,46.5244,-88.16701,5,
1120,Report 1120: Sasquatch encountered standing by porch,Infected,2011,06-Jan,36.6,-91.2,5,
36761,Report 36761: Memory told of a close encounter while deer hunting east of Salem,Infected,2011,Nov-17,37.39315,-91.3012,5,
3439,Report 3439: Young boy startles creature under house porch.,Infected,2011,10-Jan,36.09945,-80.7704,5,
10046,"Report 10046: Small group observed in a remote part of Essex County Swamp, around noon.",Infected,2011,Oct-16,40.8959,-74.2918,5,
4307,Report 4307: Late night sighting by children at a home in Calcutta,Infected,2011,Jun-30,40.6807,-80.57164,5,
4983,Report 4983: Sighting and vocalizations at a home in Wayne National Forest,Infected,2011,08-Jan,39.38745,-81.67339,5,
604,Report 604: Nightime sighting by motorists near Boring,Infected,2011,Jun-25,45.4237,-122.3876,5,
1645,Report 1645: Witness observed creature walking up a hill,Infected,2011,Aug-27,46.27583,-122.2083,5,
1954,Report 1954: Brothers have strange experience above Strawberry,Not Infected,2011,08-Jun,38.29116,-119.7275,5,
13287,Report 13287: Possible BF-related incidents around a home near Guadalupe Pass,Not Infected,2011,Apr-15,37.4583,-120.0833,5,
1228,"Report 1228: Youngster frightened by ""monster"" peeping in window",Not Infected,2011,10-Jan,40.025,-105.4458,5,
2385,Report 2385: Strange sounds heard over the course of that summer,Not Infected,2011,08-Jan,38.14415,-85.89175,5,
2909,Report 2909: Deer kill stash discovered after bigfoot sighting,Not Infected,2011,Oct-25,34.72195,-94.96639,5,
11930,Report 11930: Soldier sees large figure while on patrol at Fort Lewis,Not Infected,2011,03-Jan,47.0849,-122.5926,5,
39858,Report 39858: Memory told of a possible nighttime sighting outside a home in Granite Falls,Not Infected,2011,Oct-15,48.0835,-121.9683,5,
1636,Report 1636: Teenager has sighting near Ozark National Forest,Infected,2012,11-May,36.19444,-92.38222,5,
8487,Report 8487: Hiking boy has close encounter in High Sierra,Infected,2012,Sep-15,37.5703,-118.972,5,
37304,Report 37304: Best friends recall watching their dirt bike being canvassed by a hairy biped while camping at Lake Mills,Infected,2012,Jul-29,28.62323,-81.12898,5,
28423,Report 28423: Man recalls his face to face daylight encounter in Siloam Springs State Park,Infected,2012,Oct-29,39.93521,-89.88871,5,
2390,Report 2390: Bow hunter encounters large bipedal animal with a short neck and long arms,Infected,2012,10-Jan,36.89478,-87.02245,5,
26605,Report 26605: Man recalls early morning sighting while squirrel hunting near Salyersville,Infected,2012,Sep-30,37.81144,-83.08006,5,
7715,Report 7715: Duck hunters have early morning encounter,Infected,2012,Oct-14,30.2576,-92.6221,5,
2830,Report 2830: BF shakes bush and screams at 2 hunters,Infected,2012,Nov-15,43.79834,-84.2114,5,
1136,Report 1136: Creature seen stepping over four foot barbed wire fence near the town of Louisiana,Infected,2012,Jul-15,39.3735,-91.093,5,
10608,Report 10608: Deer hunter watches large upright walking animal on Butler Knob.,Infected,2012,Nov-18,35.6267,-81.5917,5,
5697,Report 5697: Three boys encounter sasquatch in eroded terrain,Infected,2012,Aug-15,39.679,-119.6665,5,
4959,Report 4959: Nightime sighting at a Lake Milton marina,Infected,2012,08-Jan,41.1174,-80.9835,5,
31912,Report 31912: Childhood sighting recalled near Whitehouse,Infected,2012,Jul-15,32.24271,-95.12872,5,
18623,Report 18623: Memory told of an early morning encounter with hairy biped near Buchanan,Infected,2012,Nov-18,37.54,-79.57,5,
1226,Report 1226: Teens returning from baseball game were chased by bigfoot.,Infected,2012,Aug-31,47.0033,-123.4822,5,
1652,"Report 1652: Multiple witness incident on the western slope of Silver Star Mt., near Pyramid Rock",Infected,2012,May-22,45.74639,-122.2375,5,
12302,"Report 12302: Yellowstone backcountry ranger describes sighting, other incidents",Infected,2012,06-Jun,44.58333,-110.5,5,
24052,Report 24052: Man recounts boyhood experience of hearing a terrifying scream while hunting near the San Pedro River,Not Infected,2012,01-Jan,31.63,-110.177,5,
1719,Report 1719: Possible collision with vehicle outside Homestead,Not Infected,2012,Mar-15,25.4817,-80.5158,5,
5519,Report 5519: Man recalls childhood encounter with sasquatch,Not Infected,2012,May-15,30.32305,-85.4427,5,
15120,Report 15120: Man describes daylight sighting by father (elk hunter) near Clarkia,Not Infected,2012,10-Jan,47.0615,-116.322,5,
32196,Report 32196: Memory told of family encounters near Granite City.,Not Infected,2012,09-Apr,38.74784,-90.14547,5,
10687,Report 10687: Child sees large figure looking at him in window at night,Not Infected,2012,Aug-15,39.01142,-76.53862,5,
3525,Report 3525: Snowmobiler finds large barefoot tracks in upper peninsula of Michigan,Not Infected,2012,Feb-25,46.52889,-85.49639,5,
5770,Report 5770: Four feral dogs chase sasquatch,Not Infected,2012,Aug-25,39.679,-119.6665,5,
27035,Report 27035: Man recounts childhood incident at his home on Oneida Lake,Not Infected,2012,Oct-28,43.1546,-75.73906,5,
41634,Report 41634: Memory told of observing bi-pedal creatures while driving on an unimproved dirt road in the Wallowa Mountains east of Cove,Not Infected,2012,07-Jan,45.44986,-117.7273,5,
1632,Report 1632: Family camping at Lake Somerville is menaced by a loud screaming creature,Not Infected,2012,Jul-15,30.33333,-96.55,5,
